key_id,mid,following_num,follower_num,following_id
1,1340508433,21,166266,536913550;405007525;686150641;492840942;26389059;26822958;387903996;373209261;699492406;384200660;179806277;52374669;473222648;322904084;505346490;1070837080;3493127125993647;29286533;10401388;1157440913;287016069
2,3546563601238834,3,508019,320840078;495535252;1453409239
3,7584632,134,8362052,forbidden
4,7349,140,2258730,35757827;125526;258507722;1976532950;628647469;2033488359;13703031;7601439;166788439;212345699;107130503;4401694;142874489;1889545341;46508980;361900425;378067652;26398586;1871365234;94281836;75;321173469;544336675;1007043700;437744340;686127;3461576713570746;363347357;11417094;331989468;692988;910705;2017611;4571768;540564177;352091301;383724059;8237763;35348734;2789543;667277633;472753524;12212413;1450209756;514132752;66391032;130973356;23467029;158119101;385474;35929876;471782541;36221535;495695169;103701980;11584726;27899754;2755363;447317111;163637592;474447695;67527408;399454895;290548469;8894149;3816626;351739137;137952;435203110;24142770;52250;16419172;12;489535836;51705359;43536;37663924;8990248;946974;397540531;32708316;43111066;4282930;13297724;3912316;562197;388742853;86439234;9717562;24738601;434718226;37493793;271442527;617285;16836724;1276787;358422;4564056;692856;367877
5,300882562,9,97954,320840078;473222648;11643866;3493132794595569;112938490;36053608;3066511;37029661;23079060;32869836
6,393166851,137,3412482,1241806378;3619119;456051163;90361813;473222648;275016013;12855005;1458143131;170948267;520819684;447317111;491593210;43111066;1745584728;2072577982;150522015;8299824;2678945;27534330;298319878;412704776;7788379;173469252;3334179;508416316;596842980;1624439811;23947287;285571498;3433092;11870568;927587;641975239;404216060;474702359;20259914;517327498;352637817;53456;517491339;10664325;406636263;27756469;458165375;431898258;480147541;479893558;5970160;337521240;81824112;11688464;2200736;5294454;73415355;1835478788;407054668;280793434;387783803;1776966487;434967398;26139491;353539995;9008159;26321770;452606628;32820037;24801003;20951119;254463269;495535252;396806711;522122532;8960728;546195;476704454;9824766;2920960;1868902080;208259;39627524;29329085;38053181;414641554;412466388;40491956;1754707;3066511;44230905;651039864;99157282;125526;491461718;9863807;17409016;473524263;37663924;236711132;15773384;395936853;320818292
7,1993382031,195,732,1135476125;320840078;344011774;1667240782;30400486;1944111797;497298283;3494350482836026;348499621;1528057029;3537123319744983;625647470;160507280;1991562214;695650470;3493093825317233;514924891;387392640;8096990;3546560031886147;825753;45919639;381766025;1356504769;1122854625;2107422684;55405922;475003990;385564720;2092140800;3494375898221526;694234343;2016927702;1959243160;1239046293;174902557;179701237;351082382;3494372020586900;15862638;3493265338796368;25621390;1473247194;664086886;3493277944776820;526128616;3493116671690868;1211633153;3494355065113467;3494373887052183;1844633907;1239663450;1321323975;1136838207;3494352722594657;565410888;1425563683;519260355;693659279;1931000513;1335713025;1426863395;488141422;3493115191101564;413315783;483162496;454755309;1981102340;1097188235;13309001;414509783;498616435;28152637;32708316;336251563;348754095;562716569;287566885;3493129338488958;3493144484121049;491927756;1120073146;3493083062733693;580207347;1466513301;477532025;1641516908;3493272255204257;2112874045;661231965;694891352;1649919642;478565981;57863910;1229154824;1322767670;1871326068;2002490139;429511142;456289754
8,401742377,57,18923144,1593381854;1636034895;546195;133934;1340190821;318432901;1669328690;44243;2765893;11742550;8469526;4408371;28021954;1677445;2528889;35303886;188662;34671026;18442291;78301107;11685197;4364661;9617619;75;388742853;2014513;13636363;602533983;11057377;628522081;488836173;594331;642228;791806;2821370;4320540;22152819;32708543;1328260;450905062;472729452;436175352;256667467;7966;653768;1320581;1351379;325844;249118;14897804;755370;302145;27534330;11253297;1589613;7223194;510189715
9,98627270,320,5106049,1538121878;163849048;161775300;37090048;3461578848471269;6410585;647193094;1413816531;489412051;1047224523;174501086;1203528205;2200736;16364378;1751765062;1843076727;1603502680;35499632;2138512772;1493910948;630053329;1729302342;480679056;107483389;1407055912;1458699958;1464603779;31950084;1292354935;641591444;490692170;20124064;595407557;386221886;67378210;1120425938;57863910;6991087;1581370108;2390163;21718484;7429125;1539563239;1397735183;1119420465;41059757;397490386;1169340258;29382488;1592907858;485363928;436735222;27785817;627888730;168598;32741563;472426055;11397116;57868863;348487243;40761889;267940121;373000321;1216656546;1843433577;328486488;293673997;2723662;3709586;488194691;1818005707;40004506;526693814;485154857;82473970;179026287;674173;16685;19971981;393499722;8015452;172331953;365723689;295433180;287390748;1954631297;34271614;7612168;23122199;479373673;21751353;596274154;23162962;66880231;395618817;514978269;2088402958;4251680;484764823;274573
10,50329118,91,14028928,472497932;3537122319403048;1425816229;28272979;3493297561537507;156619610;472753524;268999208;3451754;50366363;333515232;2071691173;8063177;1172899369;22797107;302651406;494978109;25503580;277827884;485401838;69112541;1519552352;594534726;651731017;1467384952;41109777;66556492;1923246745;1514683015;2036047839;1017081142;1141092059;473940554;41694332;1659679313;387783803;31536760;257851644;299609985;1690991956;676459665;29992385;101156492;122961750;300634025;7294940;302696378;390601281;415948355;1971422680;1868902080;3353026;37199377;32660634;692277525;384522533;208259;677063300;477528534;352760231;519827835;625863669;271338616;308145371;8739477;306895558;560719453;42619059;295788293;406499220;480810988;408173960;32365949;2306780;50329220;50333369;50330530;11253297;8047632;174501086;32708657;37090048;144900177;2;50329485;20175643;43315329;33075498;108532523;9617619;178778949
