key_id,mid,following_id
1,536913550,forbidden
2,405007525,1581688095;495535252;686150641;235555226;456664753;431093574
3,686150641,430777205;22020402;314358436;478559884;1648997610;3957971;2378908;1848018;197703608;43481203;487435226;30947486;11131476;352063206;1422337450;395854973;32708543;1863894913;473837611;1020211368;628599946;439270509;2200736;30222764;697164042;420831218;15680;473222648;383666009;12076317;1775691673;672353429;628826258;605487280;558205781;1464627422;485703766;1010203255;384136794;394205865;601651357;32708316;434391603;5878572;401742377;174501086;321173469;1991543668;278898145;491461718;32708626;32708726;517491339;37090048
4,492840942,1829172354;1425816229;13026325;108766164;1366587836;1525661681;326876709;85682906;37090048;421207274;1213282302;15080107;351870889;389552703;50329118;549244409;611552820;429711841;403748305;491461718;607573202;489412051;213899402;517491339;382806584;510066726;174501086;454351818;32708587;928123;207539637;32708316;9617619;4856007;3652604;32708543;586350333;7584632;209708163;130061363;15773384;32708657;12076317;321173469;9099524;456664753;412466388;331257408;390130591;591889353;326499679;68559;408002864;305070100;208259;98627270;8047632
5,26389059,1918974990;257975429;23791195;393170813;516854837;476706561;8299824;9863807;368098926;261485584;515102325;486907804;98107079
6,387903996,1340508433;340223423
7,373209261,27138673;3291733;513593166;12986988;1340508433;2344639;24474587;473222648;96116342;22765701;591936488;5225089;20071140;87192870;92468753;22081523;474320987;393170813;169902886;33913124
8,699492406,179444595;1820539364;496688267;495535252;473222648;517491339;421207274;235555226;349092963;37090048
9,384200660,403972809;473222648;10400797;399437968;332545145;33399494;495535252;11542441;412590881;454461988;383645446;323024456;444913775;320818292;15594753;1885078;37029661;59355159;339885064;25073798;22017969;92490157;351477766;7988384;387708563;37090048
10,179806277,forbidden
11,52374669,492840942;482317490;24395399;325637118;26139491;227107602;351477766;37090048;444913775;104469547;25073798;389992601;91236407;179806277;224335;9856165;31339467;16717042;239750080;386299685;234434457;7988384;636211;43634508;375305475;18130164;175631
12,473222648,37090048
13,322904084,forbidden
14,505346490,490765744;946974;507091844;481936705;26417558;554121133;642892779
15,1070837080,409838988;9535164;495535252;343099760;588853865;43535125;449150300;106587222;496035658;493908221;645501363;74551480;49244627;403915157;628850030;1998136608;9261092;32820037;504630061;488055582;320840078;473837611;1159318389;493260599
16,3493127125993647,1574641450;1532165;1340508433
17,29286533,forbidden
18,10401388,forbidden
19,1157440913,37090048;16495393;473222648;594182;18492333
20,287016069,1340508433;1001749624;321173469;5964981;62540916;8627983;13719359;16671656;390513216;37090048;51909903;514685520;60276030
21,320840078,forbidden
22,495535252,forbidden
23,1453409239,
24,35757827,forbidden
25,258507722,forbidden
26,1976532950,forbidden
27,628647469,13263262;94281836;382823022;473222648;617285;534566;1357754;320670763;471303350;16702656;355804646;26454148;629707370;2304046;382666849;317108614;11711188;1316102546;397043222;112037663;670256441;323053663;35359510;383664954;39335300;9865995;883100;14734025;402353086;66373674;13812002;19348133;178630;406830021;9070299;17065975;410502055;358791643;10789901;381399962;60009846;383768376;475187559;587949844;15946220;1208379085;495535252;235555226;32708316;2629463;4564056;2959632;9617619;7349;299228486;388156509;299975496;519872029;102359102;30098130;65442126;394205865;23410111;3410169;22492980;2294811;12880808;94114029;29404012;5775135;49129978;1429723107;26266329;482983777;9135709;155599932;310817557;381337474;137543719;90668673;517327498;4079592;260709973;2250815;170338;13297724;642389251;16836724;271442527;16693558;3030017;145403;388742853;19432127;49941507;2215034;313613613;37090048;1271437;105457878
28,2033488359,forbidden
29,13703031,forbidden
30,7601439,forbidden
31,166788439,forbidden
32,212345699,forbidden
33,107130503,86254673;518304831;7145647;514752659;825753;37029661;702314312;471715329;22280329;584435472;21353574;477433087;2065094514;397486575;452600545;3461575513999598;454904154;16395179;1433934891;407054668;3062330;588554491;97177121;85754245;1192648858;1207829343;1469892326;212006338;508959410;53166650;389133721;492840942;649234283;1607203838;521001207;43707221;3493259464673695;20520354;697139341;11870568;336440108;2044333698;340273654;513305949;475553315;1362319776;6336952;431532582;483784677;1556735669;3493135355218667;1172507986;491307403;17478777;170154639;286187082;1744476;350952551;1589382178;662609045;628597442;562197;1763562610;483162496;347757653;1150472191;25300;2206456;38157763;3493144213588772;3493107366627884;24524783;1956887620;389479215;393628875;492482342;506739381;377600440;1389004086;474660878;11482657;353874854;405036467;488749103;473222648;110542518;13354765;697166795;33987782;17780825;516439108;651338793;1457639978;1286070060;452412746;390898500;221682747;1858861103;7518633;21299054
34,4401694,14583962;35894872;1192648858;31956238;275016013;10763413;3493130724706733;37408712;199676483;50441545;34009507;19873195;489763089;349717298;278761367;388433844;538417383;102886790;395877542;106685726;303517323;176414546;3461579580377995;689599216;249512;1462958702;282994;63486758;5128788;517327498;19319172;1856591;33114953;602125886;3816626;361556391;510856133;513453119;3081011;1814756990;35847683;47595418;35807625;471993422;648956087;1201694772;7349;504118802;11643866;268999208;492632117;2679304;1207829343;398510;375375;491415434;454118230;55123;1340190821;3461575566428399;473222648;2;34728585;25150941;434376696;346763897;50693252;371846699;1897543996;403812070;457718798;1090531303;431956189;1567748478;1385037217;40427625;23244398;45478017;1042504817;238029680;683391622;119801456;58078997;592173974;796006;25480023;1470888887;31283043;611214594;50329118;1902592;28673629;481434238;12048409;451913461;1085720801;504934876;485703766;19067234;257168827
35,142874489,1194027083;17425003;371855100;403731699;489802598;3461572842228424;688722483;29221909;490770014;51267604;3461579743954954;1761667;516706545;30726847;145183;628672451;2946564;1343576122;528461028;3546556351384136;13604554;370150296;2064055063;32163034;3493282971650471;1984922201;6989892;277827884;37946996;395089518;2036047839;3742027;254566727;2113722330;5219626;384317271;1664208590;3493141629896727;1956731886;3494363745225177;441973380;439728563;1607849;25334433;47140302;3546375581075852;415897343;1954997940;316955009;429674200;8394023;3493297207118423;485816924;526847;2601367;482818849;3493285853137745;678868773;406587794;522848858;1997672297;23940920;601581350;21362877;350456040;390256435;2119841848;3493134078052829;387087511;171086;3537124018096704;35181732;486727002;3493115440662531;2013376075;19264165;1650518028;4060272;569616;200637733;78013399;9001444;56458881;254803796;324086342;69099651;590702816;25503580;32360194;1074997175;115569410;473705793;38157763;40499307;1835462552;3461568127830547;2916090;1905831130;1300259363;3493298863868861
36,1889545341,320840078;429132321;473222648
37,46508980,473222648;558651528;170801610;1654747828;374207956;24982306;275823042;508224114;287606909;522040394;67141499;55405922;298054634;1423242650;427314035;26408970;1188671400;649229217;18314842;227003989;253747455;17819768
38,361900425,164628465;4953603;1707388;19025574;14782824;7916313;15869344;1475681173;191259150;12566101;34310463;35943756;9617619;473222648;17928948;82483195;37090048;321173469;437891967;68412710
39,378067652,forbidden
40,26398586,3546382019332629;1291089667;1284100140;15105608;1453409239;518045432;503296558;381875112;259849771;13264987;41426824;253992474;1672274791;14871346;3493116285815688;339764696;413703;26012012;14444480;656102;297991412;517651510;36788534;174501086;1811164680;371612;13608402;13502559;7787525;2941854;44401889;7577631;2100737396;3986203;366075269;504706;6749284;217974795;1008278580;11395929;1900504698;410498729;5508366;3493260618106936;401137062;683391622;3493298045979152;6075139;32861142;629707370;765413;358473675;1512455827;2051602370;1869592347;1681952786;1426112202;510028707;129860965;1070980577;1780480185;358765735;262453663;39335300;556909950;258732397;63486758;2065119785;35615481;468932;1561515;48394160;4236937;3729210;481436151;686584552;360797404;43055224;23079060;362207234;26606146;3012173;476834266;577730079;300486;396395171;10289615;347235;14785799;524774000;4350565;93605237;410421425;458165375;9824766;12404316;388394328;1794304;9193512;65052550
41,1871365234,forbidden
42,321173469,forbidden
43,437744340,forbidden
44,3461576713570746,forbidden
45,363347357,22089099;3546375839025362;38469935;374183950;2131609593;2049673;3493132834441671;1430851094;674510452;356185545;3314672;5204860;120245588;525770004;7933939;593394363;3537111336618578;12503169;12204532;1567041369;3494350482836026;91726868;351899011;4845199;305956876;3493258531440857;31144857;25649606;416290566;3546393710955443;50329118;53007578;70666;1817953877;1352662788;328006225;22735049;1395043421;21068110;546189;23533119;3546558119283625;1473247194;37105922;401898575;1471508;235077;31968078;514924891;1232625208;524901778;388037313;2456543;672346917;498099165;346065526;1185820173;618107325;627300575;3494375512345028;358565086;2196881;527566192;1094452946;824967;3493126803032322;66781493;433136184;197355671;16080414;455876411;498188835;487981365;368912447;3493135741094179;383433491;504648459;479685755;32927959;79137027;50316381;386943950;329219622;1313232430;274231979;350456040;432044872;70783742;8067951;33004908;1804421;21327516;4889986;85336666;9052126;2010776822;544575286;13258564;5145396;267674223
46,11417094,forbidden
47,331989468,32708316;1328260;388742853;17236262
48,692988,forbidden
49,910705,458165375;25592156;692254835;1387592680;23791195;1535016452;495535252;688890036;1861392398;386058787;382442218;49746395;285571498;21587273;492562045;343268770;319884321;9717562;421669645;1155574439;1940623777;517327498;1114889603;349092963;1291916731;300722822;497367033;212630840;1200142548;9617619;10330740;456664753;473837611;72270557;31489157;3938491;23145999;698057488;119801456;86566982;63486758;167456603;492808243;14804670;1908567413;36267054;392595367;2033162885;210954454;15982391;24869535;68134500;543697645;250111460;326499679;20165629;477531206;424072468;355181;26606146;38598226;399454895;343084292;433587902;387460933;297786973;6457791;478030;103388721;399357054;95313800;37663924;7349;12894311;23379333;7788379;326081112;37090048;7103073;419220;37015527;17561885;433351;10462362;328303954;43536;1522853
50,2017611,forbidden
51,4571768,18949238;11720519;260728841;42999361;10860024;359817973;477410547;351899011;277827884;4856007;12948552;109618697;279939196;80757738;151291113;613115943;391769584;322595106;3494361167824919;401898575;509877789;32244775;3493286148835515;490291397;355653268;17401345;3537106580278048;1923246745;13638568;697654195;1102691033;6103423;22237983;323554424;2033488359;393256183;3493110761916771;179130846;456278093;512754496;52834176;9376619;443348418;97194410;205529024;3949941;3494350916946045;13517225;1095487135;31283043;274928598;34264408;14340773;1484421164;1358391530;59550906;121274091;3493295084800478;8461535;2871393;431173341;14049512;92197158;1504532983;251911849;294090737;1302326555;19519514;42368681;3461562650069165;401753297;410360837;437699384;3493257799535113;288887189;1776514685;3493270904637462;521722088;308124969;8800719;1288077640;1495129632;39909495;416161143;1409186099;75733706;1070859358;102140739;1651244296;211072;274368097;273100270;38061207;405987335;544649027;244100385;241241407;23844641;3494350673677173;2081589285
52,540564177,forbidden
53,352091301,
54,383724059,928123;1453409239;34049276;2029230583;412651229;642892779;174501086;376207698;205429635;271265555;652239032;435034388;673783888;598454078;357566472;386160153;3410169;30497482;337188035;388742853;382694208;22492980;388156509;2365239;52250;333811217;37090048;2318920;31155640;10850795;6769866;478396196;235555226;485118594;390819865;7577086
55,35348734,forbidden
56,2789543,69112541;6731340;519585366;193584;325315550;268999208;1070980577;46340420;3546565130062814;411379495;479592209;495695169;1862113270;7411635;210752;43764;371855100;26439953;65764710;697136136;290982;7732998;1941197170;32930406;472753524;7690817;3493082817366845;251395733;1143898753;13258977;1563385862;8237763;1561027647;3461579184015582;620667498;290558379;19209120;174501086;2;20609075;3493273693849731;1054571952;36221535;4705522;2060545385;470219180;526693814;1746158065;11374165;697654195;1199822766;485401838;1409863611;246370149;2500396;429741851;526247148;142874489;454588700;3493138152818742;30590728;3253813;39686321;88223574;4401694;383684688;1850086882;3493264313289382;2990100;2066405593;70666;1980895868;18624752;89619004;490554503;412466388;742365;44128829;3493136892430823;613385350;1009968147;404583945;11196329;1976532950;7946432;3938351;645357831;235555226;1523475;1950658;32212631;174619542;1388553975;2059591;1835462552;401480763;78507973;1802282951;511998058;1618323460
57,667277633,forbidden
58,472753524,forbidden
59,12212413,forbidden
60,1450209756,7349
61,514132752,3493134661061483;252896168;36300647;435203110;37090048;15680;649869035;296399504;262123140;6139358;10120237;665457;479638189;27533632
62,66391032,147166910;1070980577;73820664;63231;410964;6336952;411379495;37663924;3493134153550269;1372433;7212583;59905809;242009106;396806711;116683;593628798;402576555;337521240;591246297;36267054;42870908;113362335;562197;168598;435956268;384939011;473524263;192090;99157282;106685726;38598226;22423090;207261582;63486758;416128940;353539995;12597578;489117797;32820037;17546432;808171;625049320;493570956;298054634;378067652;369750017;456404164;946974;504917637;125526;7788379;23640791;217108321;25807917;8366990;1531707;1471830599;12807175;479571439;1858682;9008159;4029133;3433092;434378423;393045389;18202105;26139491;250111460;109513975;37090048;203708804;383559202;326246517;19642758;81282807;336563043;1514490;39279965;28811358;308560708;269337658;7720912;15470077;156858999;352654745;7875104;257797153;349219867;6485;101710707;330325021;95083523;286577675
63,130973356,306935529;1453409239;23947287;1634447815;22423090;1155574439;266560827;22894414;15021038;613408351;522535833;210301740;1572140919;8360214;2233459;192090;624052719;3493091671542421;1875245620;405017096;66391032;593251783;7788379;1142317983;3493119632870068;1885250814;3493075427002798;37199377;250610800;255951927;245869;3493080558733597;576616589;305826958;585238746;3353026;1074997175;2025475552;403063737;48093379;488431941;20423027;1148383993;3461577439184959;1205407597;20406678;186536060;31703755;1165283634;543931452;2041168605;115288612;390450400;1106355696;1388553975;381827379;1241806378;652239032;1565279326;689554001;1380697881;1590705;170088482;1195284234;321422126;1759413084;9354231;31012715;1937416537;25663317;37963636;9617619;2081038818;7974144;286247974;640495315;170948267;333048241;71127896;513919119;487402274;1819279816;623874;327521399;44579;25422790;175718;40178656;303864990;347235;86189745;7895698;3453405;8465957;1483068882;1835941382;674180538;40489408;942755;84706708
64,23467029,forbidden
