key_id,bvid,videos,tid,tname,pic,title,pubdate,ctime,descr,duration,is_cooperation,owner_name,owner_id,aid,view,danmaku,reply,favorite,coin,share,likes,now_rank,his_rank,vt,vv,cid,short_linke_v2,pub_location
1,BV1ju4y1N7od,1,21,日常,http://i2.hdslb.com/bfs/archive/682e2656beb92cc606b1cc48583cb2f6803cd8ce.jpg,刚来法国时帮过我的老太太成了homeless…,1699787010,1699787010,其实她成为homeless已经十来年了，但是我第一次见她的时候，她健步如飞，穿着得体，我完全不知道她其实一无所有。我当时很想报答她，但我觉得她肯定不需要我这么个傻老外帮助她吧。直到昨天，我发现她在我家对面的公交车站等车，像电影一样，我激动地邀请她进我家吃饭，然后发现她竟然过着这样的生活。我决定帮助她，帮她找一份工作，或者申请政府补助，我很感激我能有这个回报她的机会。,346,0,江酱的法语日记,1340508433,920778367,1204315,2367,4597,23741,54585,4020,178968,0,7,0,1204315,1330025936,https://b23.tv/BV1ju4y1N7od,法国
2,BV1oC4y17786,1,236,竞技体育,http://i2.hdslb.com/bfs/archive/34816bbb0a97ae216a4adbca444f96e13ffb2027.jpg,小朋友：教练我长得让你恶心吗。             教练：我来大姨夫了,1699786701,1699786701,-,104,0,笨小海涛,3.54656E+15,748286662,1262646,1170,1023,10513,3809,9506,168959,0,76,0,1262646,1330023377,https://b23.tv/BV1oC4y17786,山东
3,BV1mg4y197J9,1,17,单机游戏,http://i2.hdslb.com/bfs/archive/5c5f1d8bb6a503f196ed4efc9f2e94c99efac78c.jpg,僵尸吃掉了不存在的东西,1699846803,1699846803,你的脑子吃掉了僵尸！,521,0,EdmundDZhang,433351,833330113,144295,598,506,2833,7597,740,13235,0,0,0,144295,1327501212,https://b23.tv/BV1mg4y197J9,上海
4,BV1M94y137EG,1,178,科学·探索·自然,http://i1.hdslb.com/bfs/archive/fe68654b40055d2ad309d261b98c8d6e625dac7e.jpg,【地球脉动3】03 广袤之地,1699795801,1699353212,在广袤而多样的荒野中，自然环境瞬息万变。要想在这里成功生存，就必须能够快速适应。,3453,0,哔哩哔哩纪录片,7584632,365722435,362214,1390,175,698,452,169,2629,0,0,0,362214,1324488154,https://b23.tv/BV1M94y137EG,上海
5,BV1kG411Q7vj,1,17,单机游戏,http://i0.hdslb.com/bfs/archive/1ee556fa53fa22dc7cf7193e9b5fc5e9875fb675.jpg,【STN快报第七季35】悲惨，COD经典角色未能打赢复活赛，骨灰还被动视扬了,1699789577,1699786712,cod宝宝剧场开播啦，请各位小朋友在小凳子上坐坐好，有序观看,1418,0,STN工作室,7349,408320195,797953,10179,1255,13901,46245,3011,86037,0,60,0,797953,1329982765,https://b23.tv/BV1kG411Q7vj,上海
6,BV1Qu4y1N7xb,1,85,小剧场,http://i0.hdslb.com/bfs/archive/d56384c8cb59c3594e4150f12b417693c53ce4c8.jpg,背带宇宙之蒙面鸡人！！！,1699783200,1699717799,@-黑诺斯  蒙面鸡人要去坤仑秘境调查什么？,220,0,限时理想-背带侠,300882562,920862301,390843,500,497,5169,17314,5053,52813,0,0,0,390843,1329289335,https://b23.tv/BV1Qu4y1N7xb,江苏
7,BV1aM411D7g5,1,76,美食制作,http://i1.hdslb.com/bfs/archive/9be462dc39e39b3f5ca490e3a7f46775932f1f6b.jpg,复刻全球最受欢迎炸鸡，每年卖出上亿份，到底有多好吃？,1699761600,1699754097,"详细做法请见视频小字~记得交作业~
----
关于我：我叫大碗，暂居纽约的武汉人，兼职美食up，喜欢研究世界各地新奇美食，喜欢就点个关注吧！",541,0,大碗拿铁,393166851,535801869,1154548,2139,887,17664,19979,2558,72711,0,73,0,1154548,1329508712,https://b23.tv/BV1aM411D7g5,美国
8,BV1xg4y197Bp,1,236,竞技体育,http://i2.hdslb.com/bfs/archive/bd0adec21ede4ab5890655d30b61e0bada826ed7.jpg,幼儿园小女孩800米跑出3分11秒！,1699703391,1699703392,-,254,0,WANG_程,1993382031,833260487,2942118,6088,9987,12983,2521,63380,115675,0,34,0,2942118,1329003407,https://b23.tv/BV1xg4y197Bp,安徽
9,BV1pa4y1S77e,1,172,手机游戏,http://i0.hdslb.com/bfs/archive/871cf34b20ef99dd1dc37e4aa009e970a7a3ae61.jpg,《原神》「流光拾遗之旅」——尘世篇·麦秆画,1699850368,1699850368,"清幽盎然的村落、游人如织的高楼……金色的麦秆汇聚成璃月人生活的一隅，凑近一些，或许仍能闻见田野的气息。

旁白：刘北辰

《原神》bilibili服下载地址： https://www.biligame.com/detail/?id=103496",445,0,原神,401742377,663267384,217863,1379,1210,3362,11181,1373,35058,0,0,0,217863,1330689955,https://b23.tv/BV1pa4y1S77e,上海
10,BV1SC4y1U74N,1,153,国产动画,http://i2.hdslb.com/bfs/archive/5d7faf4c8c95f3d282107a1772a0f1f26f4a5d30.jpg,【独家】傲世九重天 第八话 初入铁云【10月国创】,1699758001,1699752555,探听铁云实况，开设天兵阁守株待兔。,1619,0,哔哩哔哩国创,98627270,790822618,497445,860,171,262,1017,55,2605,0,0,0,497445,1329268051,https://b23.tv/BV1SC4y1U74N,上海
