nid,n_name,n_level,n_condition
0,,,
1,黄金殿堂,稀有勋章,单个自制视频总播放数>=100万
3,白银殿堂,高级勋章,单个自制视频总播放数>=10万
4,青铜殿堂,普通勋章,单个自制视频总播放数>=1万
5,知名搬运工,高级勋章,转载视频投稿通过总数>=1000
6,高级搬运工,高级勋章,转载视频投稿通过总数>=100
7,见习搬运工,普通勋章,转载视频投稿通过总数>=10
8,知名偶像,稀有勋章,所有自制视频总播放数>=100万
9,出道偶像,高级勋章,所有自制视频总播放数>=50万
10,见习偶像,普通勋章,所有自制视频总播放数>=10万
18,酋长,稀有勋章,2014年攻占淘宝首页活动未获奖者所得
19,2015拜年祭纪念,稀有勋章,参与2015拜年祭制作获得
21,野生菌,稀有勋章,参与野生字幕君群，申请通过后获得
26,我是勇者-勇气,稀有勋章,2015我是勇者活动中完成任意一期的挑战获得
27,2015鬼畜大赏-鬼畜王,稀有勋章,2015鬼畜大赏符合要求并成功参与活动的UP主
31,VIP,稀有勋章,殿堂级老司机
32,真·职人,稀有勋章,触死噩梦，在Bilibili任意版块困难难度击败boss
36,终身卡,稀有勋章,直播用户等级>=40级
37,好人卡,高级勋章,直播用户等级>=30级
38,学生卡,普通勋章,直播用户等级>=25级
39,直播车神,稀有勋章,直播主播等级>=30级
40,老司机,高级勋章,直播主播等级>=20级
41,新人司机,普通勋章,直播主播等级>=15级
49,2016鬼畜大赏纪念勋章,高级勋章,成功参与2016夏夜鬼畜大赏的UP主
57,收集萌新,普通勋章,同时拥有粉丝勋章>=5个
58,收集达人,普通勋章,同时拥有粉丝勋章>=15个
59,大收藏家,普通勋章,同时拥有粉丝勋章>=25个
60,有爱萌新,普通勋章,当前持有粉丝勋章最高等级>=5级
61,有爱楷模,普通勋章,当前持有粉丝勋章最高等级>=10级
62,有爱大佬,普通勋章,当前持有粉丝勋章最高等级>=15级
63,先行者-专栏,稀有勋章,参与专栏内测并成功发布3篇文章
67,正义之士,普通勋章,累计众裁数 >= 200
69,至高守护,稀有勋章,累计众裁数 >= 5000
70,风纪精英,普通勋章,风纪委员连任期数 >= 3
71,资深委员,高级勋章,风纪委员连任期数 >= 6
72,风纪元老,稀有勋章,风纪委员连任期数 >= 12
73,人理拯救者,普通勋章,FGO 1.0剧情完结纪念
74,大会员2018年度勋章,稀有勋章,2018.6.26-7.8某一天是年度大会员
75,誓灵协会,普通勋章,完成《方舟指令》公测限时挑战活动获得
76,2018百大UP主,稀有勋章,经过创作力、影响力、口碑力三个指标官方评定后，在2018年名列前茅的100位UP主
77,2018年度新人奖,稀有勋章,2018年首次投稿、从各项数据维度综合评选的新人up主
78,十周年成就奖,稀有勋章,十周年成就奖获得者
84,X契约,稀有勋章,活动期间累计购买大会员时长>=10年
85,干杯十周年,稀有勋章,购买十周年珍藏卡礼盒用户
86,黄绿合战,高级勋章,入选黄绿合战的对战嘉宾
87,黄绿合战EX,稀有勋章,入选黄绿合战并获得优秀作品奖
88,十年大会员,稀有勋章,累计开通大会员总时长>=10年即可获得
89,2020百大UP主,稀有勋章,2020年在创作力、影响力、口碑力等维度综合数据出色的UP主
